Market,TotalFunds
 Advertising ,3174.108
 Biotechnology ,2976.682
 Clean Technology ,2095.219
 Curated Web ,6590.787
 E-Commerce ,7231.704
 Education ,3519.122
 Enterprise Software ,2367.511
 Finance ,1464.888
 Games ,4018.919
 Health and Wellness ,1904.011
 Health Care ,1393.989
 Manufacturing ,813.01
 Mobile ,5805.415
 Social Media ,5003.925
